model_id,analysis_role,condition_id,seed,candidate_representation,delta_log_loss,delta_brier_score,log_loss_sign,brier_score_sign,log_loss_sign_reversal_vs_baseline,brier_score_sign_reversal_vs_baseline,log_loss_rank_order,brier_score_rank_order,log_loss_rank_reversal_vs_baseline,brier_score_rank_reversal_vs_baseline
observable_pfa_logistic_primary,primary,baseline_minimum_g10_s10,20260829,coarse_linguistic_families,0.008305551935417155,0.004029021383834708,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,baseline_minimum_g10_s10,20260829,structural_split2,0.003574523539660146,0.0017437685177723317,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,baseline_minimum_g10_s10,20260829,coarse_linguistic_families,0.005170963905554271,0.002815279200734988,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,baseline_minimum_g10_s10,20260829,structural_split2,0.009724581998823867,0.004264612201038076,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,baseline_minimum_g10_s10,20260829,coarse_linguistic_families,0.0904666764781914,0.027296683659354337,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,baseline_minimum_g10_s10,20260829,structural_split2,-0.03301820945265421,-0.009286317909471431,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,baseline_minimum_g10_s10,20260830,coarse_linguistic_families,0.007897543077854285,0.003826623780554206,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,baseline_minimum_g10_s10,20260830,structural_split2,0.003147743415846005,0.0015321339141852464,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,baseline_minimum_g10_s10,20260830,coarse_linguistic_families,0.005742229143524402,0.0030967161031287826,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,baseline_minimum_g10_s10,20260830,structural_split2,0.00942606113385791,0.004168046537678272,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
