cell_id,reference_item_id,gkc_aspect_perfect,gkc_aspect_progressive,gkc_be_passive,gkc_finite_past,gkc_finite_present,gkc_imperative,gkc_modal_can,gkc_modal_could,gkc_modal_may,gkc_modal_might,gkc_modal_must,gkc_modal_shall,gkc_modal_should,gkc_modal_will,gkc_modal_would,gkc_negation,gkc_non_subject_wh_question,gkc_polar_question
gc_edcc8d38860ff41d,candidate_gc_edcc8d38860ff41d_02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
gc_9b8833161ce61d83,unchanged_rescue_gc_9b8833161ce61d83_01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gc_325e05b06bb38886,candidate_gc_325e05b06bb38886_01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
gc_90b9229122fa55d6,candidate_gc_90b9229122fa55d6_01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gc_4a4c9d34c1b5bce4,unchanged_rescue_gc_4a4c9d34c1b5bce4_02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gc_f86ecd83135f0b52,candidate_gc_f86ecd83135f0b52_02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
gc_809d40d141731b61,candidate_gc_809d40d141731b61_02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gc_16d9f6e33f0517ec,unchanged_rescue_gc_16d9f6e33f0517ec_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gc_e7fef77abc10b5ba,candidate_gc_e7fef77abc10b5ba_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
gc_bb4f472f992ab76b,cue_bounded_imperative_gc_bb4f472f992ab76b_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gc_4634bf1b005f7724,candidate_gc_4634bf1b005f7724_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
gc_4601bed02c004e37,candidate_gc_4601bed02c004e37_01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_d15de8b5658bd6a5,candidate_gc_d15de8b5658bd6a5_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_2d6eb4f93cba4c6b,candidate_gc_2d6eb4f93cba4c6b_03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_44ff4acdb263024b,candidate_gc_44ff4acdb263024b_01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_fcb801c76c95c7bf,candidate_gc_fcb801c76c95c7bf_03,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_9d70af80c0843115,candidate_gc_9d70af80c0843115_01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gc_08d90a35b669ed28,candidate_gc_08d90a35b669ed28_02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
