candidate_id,family,selection_role,cell_support,item_support
kc_feature__aspect__perfect,feature_value,protected_initial,5,8
kc_feature__aspect__perfect_progressive,feature_value,protected_initial,3,5
kc_feature__aspect__progressive,feature_value,protected_initial,3,6
kc_feature__clause__imperative,feature_value,protected_initial,2,3
kc_feature__clause__polar_question,feature_value,protected_initial,2,4
kc_feature__polarity__negative,feature_value,protected_initial,6,12
kc_feature__tense__past,feature_value,protected_initial,7,11
kc_feature__tense__present,feature_value,protected_initial,9,18
kc_feature__voice__passive,feature_value,protected_initial,3,5
kc_interaction__aspect_perfect__and__polarity_negative,interaction,selected_addition,2,4
