dimension,value,cell_support,source_edge_support,selected_item_support,development_cell_support,compositional_holdout_cell_support,novel_feature_holdout_cell_support
tense,present,11,20,22,9,2,0
tense,past,10,16,17,7,3,0
tense,NA,3,12,5,2,0,1
aspect,none,12,30,23,7,4,1
aspect,progressive,4,5,8,3,1,0
aspect,perfect,5,10,8,5,0,0
aspect,perfect_progressive,3,3,5,3,0,0
voice,active,19,41,35,15,3,1
voice,passive,5,7,9,3,2,0
polarity,positive,16,31,28,12,3,1
polarity,negative,8,17,16,6,2,0
clause,declarative,20,35,37,14,5,1
clause,polar_question,2,2,4,2,0,0
clause,subject_wh_question,0,0,0,0,0,0
clause,non_subject_wh_question,0,0,0,0,0,0
clause,imperative,2,11,3,2,0,0
modal,none,23,47,42,18,5,0
modal,can,0,0,0,0,0,0
modal,could,0,0,0,0,0,0
modal,may,0,0,0,0,0,0
modal,might,0,0,0,0,0,0
modal,must,0,0,0,0,0,0
modal,shall,0,0,0,0,0,0
modal,should,0,0,0,0,0,0
modal,will,0,0,0,0,0,0
modal,would,1,1,2,0,0,1
