policy,kt_method,grammar_regime,n,log_loss,brier_score,auc,ece,accuracy
automated,empirical,all_test,44000,0.6649898778430237,0.23605548192415915,0.5137755224532583,0.06390154598621178,0.6173863636363637
automated,empirical,development,32000,0.6601574336690323,0.23367675599387958,0.5124644255270285,0.0782586127722989,0.63075
automated,empirical,compositional_holdout,10000,0.6643171555715806,0.23574858968704407,0.5281765331649483,0.06668738961612385,0.6158
automated,empirical,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
automated,bkt,all_test,44000,0.8261632718330982,0.2779273651494551,0.5434799016062906,0.21936050570124077,0.6422954545454546
automated,bkt,development,32000,0.8219347853951007,0.27499520713663345,0.5188405896402556,0.2196453823121525,0.6575625
automated,bkt,compositional_holdout,10000,0.8557925636044905,0.28776583222153396,0.537843239116055,0.23532585240805795,0.6396
automated,bkt,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
automated,logistic,all_test,44000,0.6433557926927006,0.22560965643444647,0.5641230901859728,0.004398819903957979,0.6511363636363636
automated,logistic,development,32000,0.6396694460387319,0.22381213026591243,0.5398783850505459,0.0027482353571668347,0.65840625
automated,logistic,compositional_holdout,10000,0.6484948711312821,0.2281260519236725,0.5561924716548879,0.00812192762491566,0.6398
automated,logistic,novel_feature_holdout,2000,0.6766419469632926,0.24178809768486115,0.5008628975769547,0.012192634047826223,0.5915
factorized,empirical,all_test,44000,0.6646815528859722,0.23590494595972814,0.514222046490674,0.0634386033290791,0.6186136363636363
factorized,empirical,development,32000,0.6597334868530866,0.23346976904278688,0.5128413340175905,0.07762206661874142,0.6324375
factorized,empirical,compositional_holdout,10000,0.6643171555715806,0.23574858968704407,0.5281765331649483,0.06668738961612385,0.6158
factorized,empirical,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
factorized,bkt,all_test,44000,0.8275261901406669,0.27825189478333867,0.5436805545282102,0.22041697099953533,0.6422954545454546
factorized,bkt,development,32000,0.8238087980680074,0.2754414353832233,0.5186860403987597,0.22108060578346997,0.6575625
factorized,bkt,compositional_holdout,10000,0.8557925636044905,0.28776583222153396,0.537843239116055,0.23532585240805795,0.6396
factorized,bkt,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
factorized,logistic,all_test,44000,0.6437307892727746,0.22577539816130435,0.5603559107368923,0.003363853142798752,0.6511363636363636
factorized,logistic,development,32000,0.6401192104098027,0.22401529551046154,0.5358326672716289,0.0021236183222806213,0.65840625
factorized,logistic,compositional_holdout,10000,0.6487293621852542,0.22821655850930336,0.5586629653665716,0.006940834497854164,0.6398
factorized,logistic,novel_feature_holdout,2000,0.6765231865179275,0.24173123883479508,0.5008628975769547,0.009663003377342383,0.5915
oracle_all_cell,empirical,all_test,44000,0.6928361169433367,0.24865756416202847,0.5213379886206009,0.11519967532467537,0.5978409090909091
oracle_all_cell,empirical,development,32000,0.6927194680871085,0.2481541507227891,0.5161316260808118,0.1204308035714286,0.5965625
oracle_all_cell,empirical,compositional_holdout,10000,0.6931471805599454,0.25,0.5,0.13980000000000004,0.6398
oracle_all_cell,empirical,novel_feature_holdout,2000,0.6931471805599454,0.25,0.5,0.09150000000000003,0.4085
oracle_all_cell,bkt,all_test,44000,0.7722347128068202,0.2702525546745835,0.5292149417001155,0.193087483625025,0.5629772727272727
oracle_all_cell,bkt,development,32000,0.788000175733638,0.2709495126775523,0.5160633254200526,0.20202653998440942,0.6245625
oracle_all_cell,bkt,compositional_holdout,10000,0.7407444526001966,0.2736368,0.5,0.20780000000000004,0.3602
oracle_all_cell,bkt,novel_feature_holdout,2000,0.6774386070108569,0.24218000000000006,0.5,0.023500000000000132,0.5915
oracle_all_cell,logistic,all_test,44000,0.6575072912310627,0.23256470693151024,0.5458820022824884,0.04129137551750647,0.587590909090909
oracle_all_cell,logistic,development,32000,0.6398854535880448,0.22389994732116117,0.540051483587831,0.009440219484922803,0.65840625
oracle_all_cell,logistic,compositional_holdout,10000,0.7083442241328108,0.25759177672151584,0.5069427581738394,0.16477779160439637,0.3602
oracle_all_cell,logistic,novel_feature_holdout,2000,0.6852720290106082,0.24606551174706806,0.5008628975769547,0.06652220839560369,0.5915
supported_interactions,empirical,all_test,44000,0.6661215513659636,0.23662611214661403,0.515894089308101,0.0665012085419673,0.6117045454545454
supported_interactions,empirical,development,32000,0.6611662362542717,0.23418727465314937,0.5149444624661795,0.08012956288132043,0.624875
